cluster,hour_0,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23
0,0.0,0.0,0.0,0.0,0.0,0.009320905459387484,0.2614292055037728,0.5330670217487795,0.7323568575233024,0.8695073235685754,0.9427430093209055,0.9662671992898358,0.9316466932978251,0.8397691966267199,0.6884154460719042,0.4518419884598313,0.18952507767421214,0.00044385264092321354,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.007545494895694629,0.11850865512649801,0.3271193963604084,0.517532179316467,0.628051486906347,0.6888592987128274,0.6822015090989791,0.6253883710608079,0.5224145583666223,0.3874833555259654,0.23435419440745675,0.07456724367509987,0.0022192632046160675,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0062139369729249895,0.19884598313359966,0.4451841988459832,0.6453617399023526,0.7785175321793165,0.8517532179316468,0.873058144695961,0.833555259653795,0.7363515312916112,0.5872170439414116,0.3786063027075011,0.1380381713271194,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.01020861074123391,0.18242343541944073,0.4083444296493564,0.5925432756324901,0.7203728362183757,0.7962716378162451,0.8189081225033289,0.7851753217931647,0.6955170883266755,0.5543719485130937,0.3661784287616512,0.13981358189081225,0.0022192632046160675,0.0,0.0,0.0,0.0,0.0,0.0
