cluster,hour_0,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23
0,0.0,0.0,0.0,0.0,0.0,0.0039946737683089215,0.17842876165113186,0.36218375499334227,0.5446071904127829,0.681757656458056,0.7443408788282292,0.685752330226365,0.5552596537949401,0.426098535286285,0.24500665778961386,0.1384820239680426,0.04394141145139814,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.011984021304926764,0.13981358189081225,0.3462050599201066,0.5379494007989348,0.6764314247669774,0.7549933422103862,0.7762982689747004,0.737683089214381,0.6391478029294274,0.4820239680426099,0.27430093209054596,0.06657789613848203,0.0039946737683089215,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.006657789613848203,0.1211717709720373,0.3022636484687084,0.4846870838881492,0.6338215712383489,0.733688415446072,0.7656458055925432,0.7390146471371506,0.6551264980026632,0.5139813581890813,0.3288948069241012,0.1278295605858855,0.002663115845539281,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0039946737683089215,0.15845539280958723,0.38748335552596536,0.6005326231691079,0.7563249001331558,0.8508655126498004,0.8948069241011986,0.8868175765645807,0.8189081225033289,0.6777629826897471,0.43808255659121176,0.16644474034620507,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.007989347536617843,0.24101198402130494,0.5073235685752331,0.7123834886817577,0.8428761651131825,0.9161118508655126,0.9320905459387483,0.8961384820239682,0.800266311584554,0.644474034620506,0.4474034620505993,0.17576564580559256,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.009320905459387484,0.170439414114514,0.3981358189081225,0.596537949400799,0.7390146471371506,0.8215712383488682,0.8455392809587218,0.8095872170439414,0.7137150466045274,0.559254327563249,0.34221038615179766,0.11984021304926765,0.002663115845539281,0.0,0.0,0.0,0.0,0.0,0.0
