cluster,hour_0,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23
0,0.1333333333333333,0.10666666666666647,0.08666666666666667,0.08666666666666667,0.07999999999999985,0.07999999999999985,0.08666666666666667,0.11333333333333329,0.16666666666666674,0.19999999999999996,0.22666666666666657,0.22666666666666657,0.23999999999999977,0.2466666666666666,0.26,0.2533333333333334,0.2466666666666666,0.2533333333333334,0.26,0.28,0.26,0.2333333333333334,0.19333333333333313,0.17999999999999994
1,0.2733333333333332,0.23999999999999977,0.2333333333333334,0.22666666666666657,0.21999999999999997,0.21999999999999997,0.2666666666666666,0.3533333333333335,0.45333333333333337,0.52,0.5266666666666666,0.6266666666666667,0.6733333333333333,0.6866666666666668,0.7000000000000002,0.6533333333333335,0.6399999999999999,0.6133333333333333,0.5800000000000001,0.5266666666666666,0.48,0.43333333333333335,0.3866666666666667,0.3466666666666667
2,0.1399999999999999,0.11333333333333329,0.10000000000000009,0.08666666666666667,0.08666666666666667,0.08666666666666667,0.1466666666666665,0.2333333333333334,0.32000000000000006,0.3933333333333333,0.44666666666666677,0.44999999999999996,0.45333333333333337,0.45666666666666655,0.45999999999999996,0.48,0.5,0.47333333333333316,0.44666666666666677,0.4266666666666665,0.3799999999999999,0.3599999999999999,0.32000000000000006,0.23999999999999977
3,0.4266666666666665,0.3599999999999999,0.32000000000000006,0.30000000000000004,0.2933333333333332,0.2866666666666666,0.30666666666666664,0.3733333333333333,0.4933333333333334,0.4866666666666668,0.5155555555555555,0.5444444444444445,0.5733333333333333,0.602222222222222,0.6311111111111112,0.6599999999999999,0.6666666666666667,0.6733333333333333,0.7466666666666668,0.6599999999999999,0.6399999999999999,0.5800000000000001,0.5133333333333334,0.4666666666666668
4,0.43333333333333335,0.3933333333333333,0.3466666666666667,0.33333333333333326,0.32000000000000006,0.31333333333333324,0.32666666666666666,0.3866666666666667,0.52,0.5866666666666669,0.6533333333333335,0.7200000000000002,0.7066666666666666,0.6933333333333334,0.6800000000000002,0.7000000000000002,0.7000000000000002,0.7133333333333334,0.7066666666666666,0.6933333333333334,0.6599999999999999,0.6000000000000001,0.5333333333333334,0.4866666666666668
5,0.12666666666666648,0.10000000000000009,0.09333333333333327,0.07999999999999985,0.07333333333333325,0.06666666666666665,0.08666666666666667,0.1333333333333333,0.18666666666666676,0.21333333333333337,0.26,0.2866666666666666,0.2866666666666666,0.2933333333333332,0.31333333333333324,0.30000000000000004,0.32666666666666666,0.32000000000000006,0.30666666666666664,0.30000000000000004,0.2866666666666666,0.28,0.23999999999999977,0.17999999999999994
